PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2025,48,X,4.94073,X,X,X,X,X,X,5235,226,105956
States,New York,2025,49,X,5.74741,X,X,X,X,X,X,6639,229,115513
States,New York,2025,50,X,9.26987,X,X,X,X,X,X,11273,228,121609
States,New York,2025,51,X,13.4543,X,X,X,X,X,X,17265,227,128323
States,New York,2025,52,X,14.42,X,X,X,X,X,X,16240,226,112621
States,New York,2025,53,X,10.8838,X,X,X,X,X,X,12564,226,115438
States,New York,2026,1,X,6.53811,X,X,X,X,X,X,7764,226,118750
States,New York,2026,2,X,4.56637,X,X,X,X,X,X,5001,226,109518
States,New York,2026,3,X,3.63669,X,X,X,X,X,X,3702,226,101796
States,New York,2026,4,X,2.92861,X,X,X,X,X,X,2721,227,92911
States,New York,2026,5,X,2.81942,X,X,X,X,X,X,2994,227,106192
States,New York,2026,6,X,3.05652,X,X,X,X,X,X,3303,227,108064
States,New York,2026,7,X,3.28426,X,X,X,X,X,X,3505,227,106721
States,New York,2026,8,X,2.78993,X,X,X,X,X,X,2864,227,102655
States,New York,2026,9,X,2.80634,X,X,X,X,X,X,3054,227,108825
States,New York,2026,10,X,3.13911,X,X,X,X,X,X,3505,226,111656
States,New York,2026,11,X,3.24556,X,X,X,X,X,X,3647,226,112369
States,New York,2026,12,X,3.39543,X,X,X,X,X,X,3908,227,115096
States,New York,2026,13,X,3.1686,X,X,X,X,X,X,3536,226,111595
States,New York,2026,14,X,2.4201,X,X,X,X,X,X,2610,225,107847
States,New York,2026,15,X,1.8069,X,X,X,X,X,X,2087,225,115502
States,New York,2026,16,X,1.49987,X,X,X,X,X,X,1657,225,110476
States,New York,2026,17,X,1.36546,X,X,X,X,X,X,1437,189,105239
States,New York,2026,18,X,1.57791,X,X,X,X,X,X,1819,225,115279
States,New York,2026,19,X,1.37911,X,X,X,X,X,X,1599,224,115944
States,New York,2026,20,X,1.21201,X,X,X,X,X,X,1447,225,119388
States,New York,2026,21,X,1.09783,X,X,X,X,X,X,1247,225,113588
States,New York,2026,22,X,1.07109,X,X,X,X,X,X,1137,198,106154
States,New York,2026,23,X,0.953332,X,X,X,X,X,X,1021,192,107098
States,New York,2026,24,X,0.886119,X,X,X,X,X,X,944,193,106532
